"","GEOID","NAME","variable","estimate","moe"
"1","00601","ZCTA5 00601","medincome",11507,1192
"2","00602","ZCTA5 00602","medincome",15511,1381
"3","00603","ZCTA5 00603","medincome",16681,903
"4","00606","ZCTA5 00606","medincome",11648,2555
"5","00610","ZCTA5 00610","medincome",17751,1326
"6","00612","ZCTA5 00612","medincome",17208,928
"7","00616","ZCTA5 00616","medincome",14490,1775
"8","00617","ZCTA5 00617","medincome",15645,1858
"9","00622","ZCTA5 00622","medincome",16784,3725
"10","00623","ZCTA5 00623","medincome",17134,1286
"11","00624","ZCTA5 00624","medincome",16764,1576
"12","00627","ZCTA5 00627","medincome",17206,1131
"13","00631","ZCTA5 00631","medincome",7948,2384
"14","00637","ZCTA5 00637","medincome",14877,2009
"15","00638","ZCTA5 00638","medincome",12486,1591
"16","00641","ZCTA5 00641","medincome",16181,1135
"17","00646","ZCTA5 00646","medincome",27967,2845
"18","00647","ZCTA5 00647","medincome",13312,1518
"19","00650","ZCTA5 00650","medincome",15807,2806
"20","00652","ZCTA5 00652","medincome",19497,3248
"21","00653","ZCTA5 00653","medincome",13175,1241
"22","00656","ZCTA5 00656","medincome",14828,1185
"23","00659","ZCTA5 00659","medincome",18480,1377
"24","00660","ZCTA5 00660","medincome",20589,1855
"25","00662","ZCTA5 00662","medincome",16291,1151
"26","00664","ZCTA5 00664","medincome",15749,2186
"27","00667","ZCTA5 00667","medincome",12736,1431
"28","00669","ZCTA5 00669","medincome",12552,910
"29","00670","ZCTA5 00670","medincome",13209,2709
"30","00674","ZCTA5 00674","medincome",18549,1510
"31","00676","ZCTA5 00676","medincome",14149,1250
"32","00677","ZCTA5 00677","medincome",17881,1513
"33","00678","ZCTA5 00678","medincome",15208,1427
"34","00680","ZCTA5 00680","medincome",14575,980
"35","00682","ZCTA5 00682","medincome",15804,1432
"36","00683","ZCTA5 00683","medincome",15198,1413
"37","00685","ZCTA5 00685","medincome",13840,1136
"38","00687","ZCTA5 00687","medincome",17649,1387
"39","00688","ZCTA5 00688","medincome",14697,2294
"40","00690","ZCTA5 00690","medincome",20668,2598
"41","00692","ZCTA5 00692","medincome",18593,1388
"42","00693","ZCTA5 00693","medincome",17624,1195
"43","00694","ZCTA5 00694","medincome",10550,4620
"44","00698","ZCTA5 00698","medincome",14734,1165
"45","00703","ZCTA5 00703","medincome",15276,1370
"46","00704","ZCTA5 00704","medincome",14528,2597
"47","00705","ZCTA5 00705","medincome",17893,1473
"48","00707","ZCTA5 00707","medincome",18815,3533
"49","00714","ZCTA5 00714","medincome",16538,2097
"50","00715","ZCTA5 00715","medincome",12229,1614
"51","00716","ZCTA5 00716","medincome",18595,1546
"52","00717","ZCTA5 00717","medincome",11597,1235
"53","00718","ZCTA5 00718","medincome",18906,972
"54","00719","ZCTA5 00719","medincome",19247,2073
"55","00720","ZCTA5 00720","medincome",14845,1153
"56","00723","ZCTA5 00723","medincome",13975,1046
"57","00725","ZCTA5 00725","medincome",20072,1071
"58","00727","ZCTA5 00727","medincome",30890,1546
"59","00728","ZCTA5 00728","medincome",18099,996
"60","00729","ZCTA5 00729","medincome",20805,1572
"61","00730","ZCTA5 00730","medincome",15046,989
"62","00731","ZCTA5 00731","medincome",16171,1823
"63","00735","ZCTA5 00735","medincome",20204,1886
"64","00736","ZCTA5 00736","medincome",20571,1195
"65","00738","ZCTA5 00738","medincome",19809,1585
"66","00739","ZCTA5 00739","medincome",21818,1373
"67","00740","ZCTA5 00740","medincome",14500,3769
"68","00741","ZCTA5 00741","medincome",20363,4363
"69","00745","ZCTA5 00745","medincome",23344,1792
"70","00751","ZCTA5 00751","medincome",16177,1626
"71","00754","ZCTA5 00754","medincome",16927,1285
"72","00757","ZCTA5 00757","medincome",15295,1837
"73","00765","ZCTA5 00765","medincome",17604,3984
"74","00766","ZCTA5 00766","medincome",18670,1212
"75","00767","ZCTA5 00767","medincome",16342,1518
"76","00769","ZCTA5 00769","medincome",18578,1364
"77","00771","ZCTA5 00771","medincome",19982,1957
"78","00772","ZCTA5 00772","medincome",15725,1917
"79","00773","ZCTA5 00773","medincome",19658,2017
"80","00775","ZCTA5 00775","medincome",20221,3645
"81","00777","ZCTA5 00777","medincome",19249,1520
"82","00778","ZCTA5 00778","medincome",31070,2435
"83","00780","ZCTA5 00780","medincome",20985,1857
"84","00782","ZCTA5 00782","medincome",12752,1265
"85","00783","ZCTA5 00783","medincome",14465,1332
"86","00784","ZCTA5 00784","medincome",15383,897
"87","00786","ZCTA5 00786","medincome",NA,NA
"88","00791","ZCTA5 00791","medincome",19269,775
"89","00794","ZCTA5 00794","medincome",14785,1219
"90","00795","ZCTA5 00795","medincome",20459,970
"91","00901","ZCTA5 00901","medincome",16612,2276
"92","00906","ZCTA5 00906","medincome",NA,NA
"93","00907","ZCTA5 00907","medincome",31836,3542
"94","00909","ZCTA5 00909","medincome",16219,1656
"95","00911","ZCTA5 00911","medincome",29325,3153
"96","00912","ZCTA5 00912","medincome",20663,4097
"97","00913","ZCTA5 00913","medincome",6989,1802
"98","00915","ZCTA5 00915","medincome",13573,1073
"99","00917","ZCTA5 00917","medincome",13913,1389
"100","00918","ZCTA5 00918","medincome",21030,3505
"101","00920","ZCTA5 00920","medincome",25591,1646
"102","00921","ZCTA5 00921","medincome",18334,1222
"103","00923","ZCTA5 00923","medincome",14631,1346
"104","00924","ZCTA5 00924","medincome",18535,1167
"105","00925","ZCTA5 00925","medincome",10247,2188
"106","00926","ZCTA5 00926","medincome",32583,1951
"107","00927","ZCTA5 00927","medincome",32083,3532
"108","00934","ZCTA5 00934","medincome",66063,14689
"109","00936","ZCTA5 00936","medincome",NA,NA
"110","00949","ZCTA5 00949","medincome",25226,988
"111","00950","ZCTA5 00950","medincome",NA,NA
"112","00951","ZCTA5 00951","medincome",NA,NA
"113","00952","ZCTA5 00952","medincome",16577,2133
"114","00953","ZCTA5 00953","medincome",29793,1497
"115","00956","ZCTA5 00956","medincome",22432,958
"116","00957","ZCTA5 00957","medincome",23886,1308
"117","00959","ZCTA5 00959","medincome",28215,1924
"118","00960","ZCTA5 00960","medincome",NA,NA
"119","00961","ZCTA5 00961","medincome",28203,2207
"120","00962","ZCTA5 00962","medincome",15782,1296
"121","00965","ZCTA5 00965","medincome",15274,1899
"122","00966","ZCTA5 00966","medincome",50570,6908
"123","00968","ZCTA5 00968","medincome",46047,6017
"124","00969","ZCTA5 00969","medincome",53175,2836
"125","00971","ZCTA5 00971","medincome",20860,2254
"126","00976","ZCTA5 00976","medincome",30027,1424
"127","00979","ZCTA5 00979","medincome",35251,4139
"128","00982","ZCTA5 00982","medincome",25362,4104
"129","00983","ZCTA5 00983","medincome",27612,1678
"130","00985","ZCTA5 00985","medincome",24091,1271
"131","00987","ZCTA5 00987","medincome",31758,1526
"132","01001","ZCTA5 01001","medincome",56714,6167
"133","01002","ZCTA5 01002","medincome",48923,4421
"134","01003","ZCTA5 01003","medincome",2499,NA
"135","01005","ZCTA5 01005","medincome",70568,11002
"136","01007","ZCTA5 01007","medincome",80502,6457
"137","01008","ZCTA5 01008","medincome",67250,7495
"138","01009","ZCTA5 01009","medincome",NA,NA
"139","01010","ZCTA5 01010","medincome",83273,17084
"140","01011","ZCTA5 01011","medincome",74722,13218
"141","01012","ZCTA5 01012","medincome",60417,12755
"142","01013","ZCTA5 01013","medincome",40876,2642
"143","01020","ZCTA5 01020","medincome",57851,4323
"144","01022","ZCTA5 01022","medincome",44701,5075
"145","01026","ZCTA5 01026","medincome",50924,5223
"146","01027","ZCTA5 01027","medincome",61217,6149
"147","01028","ZCTA5 01028","medincome",83003,5394
"148","01029","ZCTA5 01029","medincome",54375,27582
"149","01030","ZCTA5 01030","medincome",64874,6075
"150","01031","ZCTA5 01031","medincome",39327,11379
"151","01032","ZCTA5 01032","medincome",73750,12101
"152","01033","ZCTA5 01033","medincome",86951,5593
"153","01034","ZCTA5 01034","medincome",82159,4694
"154","01035","ZCTA5 01035","medincome",62634,8903
"155","01036","ZCTA5 01036","medincome",80375,11277
"156","01037","ZCTA5 01037","medincome",80417,19321
"157","01038","ZCTA5 01038","medincome",65887,8431
"158","01039","ZCTA5 01039","medincome",74107,17616
"159","01040","ZCTA5 01040","medincome",38829,2888
"160","01050","ZCTA5 01050","medincome",72386,12521
"161","01053","ZCTA5 01053","medincome",66528,18729
"162","01054","ZCTA5 01054","medincome",86771,8268
"163","01056","ZCTA5 01056","medincome",64537,5694
"164","01057","ZCTA5 01057","medincome",74439,6672
"165","01060","ZCTA5 01060","medincome",56128,4044
"166","01062","ZCTA5 01062","medincome",73913,9215
"167","01063","ZCTA5 01063","medincome",NA,NA
"168","01066","ZCTA5 01066","medincome",NA,NA
"169","01068","ZCTA5 01068","medincome",85052,5112
"170","01069","ZCTA5 01069","medincome",57994,9347
"171","01070","ZCTA5 01070","medincome",55208,6190
"172","01071","ZCTA5 01071","medincome",70938,4046
"173","01072","ZCTA5 01072","medincome",75658,8836
"174","01073","ZCTA5 01073","medincome",90318,12665
"175","01074","ZCTA5 01074","medincome",NA,NA
"176","01075","ZCTA5 01075","medincome",61821,5340
"177","01077","ZCTA5 01077","medincome",76576,7429
"178","01079","ZCTA5 01079","medincome",31778,9721
"179","01080","ZCTA5 01080","medincome",51023,15647
"180","01081","ZCTA5 01081","medincome",51182,7989
"181","01082","ZCTA5 01082","medincome",52178,5465
"182","01083","ZCTA5 01083","medincome",45954,12333
"183","01084","ZCTA5 01084","medincome",68750,27644
"184","01085","ZCTA5 01085","medincome",63283,3661
"185","01086","ZCTA5 01086","medincome",NA,NA
"186","01088","ZCTA5 01088","medincome",61875,21322
"187","01089","ZCTA5 01089","medincome",50649,4263
"188","01092","ZCTA5 01092","medincome",77150,49525
"189","01093","ZCTA5 01093","medincome",84167,42928
"190","01094","ZCTA5 01094","medincome",18454,11326
"191","01095","ZCTA5 01095","medincome",95679,11427
"192","01096","ZCTA5 01096","medincome",73589,8564
"193","01097","ZCTA5 01097","medincome",31250,29190
"194","01098","ZCTA5 01098","medincome",77083,8902
"195","01103","ZCTA5 01103","medincome",16760,3042
"196","01104","ZCTA5 01104","medincome",28590,3444
"197","01105","ZCTA5 01105","medincome",16455,2290
"198","01106","ZCTA5 01106","medincome",105822,8295
"199","01107","ZCTA5 01107","medincome",22956,3259
"200","01108","ZCTA5 01108","medincome",36890,4035
"201","01109","ZCTA5 01109","medincome",35076,2693
"202","01118","ZCTA5 01118","medincome",60295,6966
"203","01119","ZCTA5 01119","medincome",49083,7755
"204","01128","ZCTA5 01128","medincome",70078,16520
"205","01129","ZCTA5 01129","medincome",60776,6244
"206","01151","ZCTA5 01151","medincome",36541,5265
"207","01199","ZCTA5 01199","medincome",NA,NA
"208","01201","ZCTA5 01201","medincome",45893,1891
"209","01220","ZCTA5 01220","medincome",48422,3201
"210","01222","ZCTA5 01222","medincome",76944,11475
"211","01223","ZCTA5 01223","medincome",72981,8912
"212","01224","ZCTA5 01224","medincome",36324,9917
"213","01225","ZCTA5 01225","medincome",58145,7069
"214","01226","ZCTA5 01226","medincome",57202,9271
"215","01229","ZCTA5 01229","medincome",27083,24178
"216","01230","ZCTA5 01230","medincome",59702,9469
"217","01235","ZCTA5 01235","medincome",60718,5506
"218","01236","ZCTA5 01236","medincome",80385,24275
"219","01237","ZCTA5 01237","medincome",83311,11965
"220","01238","ZCTA5 01238","medincome",63109,7890
"221","01240","ZCTA5 01240","medincome",54250,12439
"222","01242","ZCTA5 01242","medincome",56840,30939
"223","01243","ZCTA5 01243","medincome",76250,25682
"224","01244","ZCTA5 01244","medincome",NA,NA
"225","01245","ZCTA5 01245","medincome",66136,18182
"226","01247","ZCTA5 01247","medincome",38007,3679
"227","01253","ZCTA5 01253","medincome",71010,2731
"228","01254","ZCTA5 01254","medincome",89583,29362
"229","01255","ZCTA5 01255","medincome",67333,9791
"230","01256","ZCTA5 01256","medincome",49000,9669
"231","01257","ZCTA5 01257","medincome",50688,23542
"232","01258","ZCTA5 01258","medincome",65739,10693
"233","01259","ZCTA5 01259","medincome",61125,20302
"234","01260","ZCTA5 01260","medincome",101979,65087
"235","01262","ZCTA5 01262","medincome",45500,16499
"236","01264","ZCTA5 01264","medincome",75417,36456
"237","01266","ZCTA5 01266","medincome",68542,11740
"238","01267","ZCTA5 01267","medincome",73085,7942
"239","01270","ZCTA5 01270","medincome",71250,11481
"240","01301","ZCTA5 01301","medincome",49024,3279
"241","01330","ZCTA5 01330","medincome",79118,8711
"242","01331","ZCTA5 01331","medincome",51750,5521
"243","01337","ZCTA5 01337","medincome",65139,3140
"244","01338","ZCTA5 01338","medincome",66375,17876
"245","01339","ZCTA5 01339","medincome",51346,9180
"246","01340","ZCTA5 01340","medincome",54063,5791
"247","01341","ZCTA5 01341","medincome",89688,15962
"248","01342","ZCTA5 01342","medincome",102219,40859
"249","01343","ZCTA5 01343","medincome",83125,15387
"250","01344","ZCTA5 01344","medincome",61563,12261
"251","01346","ZCTA5 01346","medincome",56500,5637
"252","01347","ZCTA5 01347","medincome",39211,6561
"253","01349","ZCTA5 01349","medincome",60493,6753
"254","01350","ZCTA5 01350","medincome",31750,5688
"255","01351","ZCTA5 01351","medincome",81833,15314
"256","01354","ZCTA5 01354","medincome",74167,10952
"257","01355","ZCTA5 01355","medincome",68681,7891
"258","01360","ZCTA5 01360","medincome",63963,9957
"259","01364","ZCTA5 01364","medincome",37911,5341
"260","01366","ZCTA5 01366","medincome",65774,6654
"261","01367","ZCTA5 01367","medincome",50357,7429
"262","01368","ZCTA5 01368","medincome",67333,10944
"263","01370","ZCTA5 01370","medincome",54803,5803
"264","01373","ZCTA5 01373","medincome",71174,13308
"265","01375","ZCTA5 01375","medincome",53934,12200
"266","01376","ZCTA5 01376","medincome",41836,12225
"267","01378","ZCTA5 01378","medincome",56985,4545
"268","01379","ZCTA5 01379","medincome",44750,5903
"269","01420","ZCTA5 01420","medincome",50617,3746
"270","01430","ZCTA5 01430","medincome",86219,9732
"271","01431","ZCTA5 01431","medincome",89934,10597
"272","01432","ZCTA5 01432","medincome",77462,9927
"273","01434","ZCTA5 01434","medincome",54318,39658
"274","01436","ZCTA5 01436","medincome",77083,23784
"275","01438","ZCTA5 01438","medincome",70028,17729
"276","01440","ZCTA5 01440","medincome",46410,2348
"277","01450","ZCTA5 01450","medincome",117500,7614
"278","01451","ZCTA5 01451","medincome",140192,14136
"279","01452","ZCTA5 01452","medincome",84803,7281
"280","01453","ZCTA5 01453","medincome",56577,4045
"281","01460","ZCTA5 01460","medincome",108704,10643
"282","01462","ZCTA5 01462","medincome",89706,9155
"283","01463","ZCTA5 01463","medincome",84980,6914
"284","01464","ZCTA5 01464","medincome",68864,9754
"285","01467","ZCTA5 01467","medincome",131667,88295
"286","01468","ZCTA5 01468","medincome",62589,9988
"287","01469","ZCTA5 01469","medincome",81317,5639
"288","01473","ZCTA5 01473","medincome",96953,8297
"289","01474","ZCTA5 01474","medincome",98221,19693
"290","01475","ZCTA5 01475","medincome",61998,8360
"291","01501","ZCTA5 01501","medincome",71976,3729
"292","01503","ZCTA5 01503","medincome",97614,14700
"293","01504","ZCTA5 01504","medincome",75544,4626
