date,city,county,day,easy
2005,0,0,1,linear
2006,-0.088376233,-0.029295065,2,linear
2007,0.058781387,-0.075924159,3,linear
2008,0.059410002,-0.005964546,4,linear
2009,-0.023461674,0.002663675,5,linear
2010,0.080862591,0.014099374,6,linear
2011,-0.046920532,-0.023675808,7,linear
2012,0.012471051,0.000848202,8,linear
2013,0.055937877,0.041107075,9,linear
2014,0.024449776,0.029013394,10,linear
2015,-0.018316968,-0.014206154,11,linear
2016,-0.011566682,-0.02585787,12,linear
2017,-0.034745655,0.015696588,13,linear
