"","GEOID","year","tech","info","prof","per","total"
"1",90001,2005,48,5,43,0.61,7898
"2",90002,2005,24,0,24,2.1,1142
"3",90003,2005,68,0,68,1.56,4352
"4",90004,2005,845,422,423,11.96,7064
"5",90005,2005,507,304,203,11.95,4244
"6",90006,2005,422,33,389,4.56,9257
"7",90007,2005,768,84,684,5.45,14082
"8",90008,2005,191,124,67,6.18,3093
"9",90009,2005,0,0,0,0,4692
"10",90010,2005,6131,1454,4677,19.71,31110
"11",90011,2005,98,41,57,0.99,9886
"12",90012,2005,5691,4550,1141,2.25,252941
"13",90013,2005,1113,96,1017,8.41,13228
"14",90014,2005,568,56,512,3.83,14835
"15",90015,2005,1539,895,644,4.29,35880
"16",90016,2005,596,321,275,6.77,8799
"17",90017,2005,13579,1983,11596,35.49,38264
"18",90018,2005,175,11,164,4.57,3826
"19",90019,2005,400,64,336,7.67,5218
"20",90020,2005,185,58,127,1.54,12038
"21",90021,2005,698,0,698,2.55,27377
"22",90022,2005,434,166,268,2.53,17136
"23",90023,2005,396,7,389,1.55,25514
"24",90024,2005,3172,1052,2120,7.13,44519
"25",90025,2005,8409,2871,5538,28.48,29528
"26",90026,2005,430,212,218,7.3,5892
"27",90027,2005,3622,3340,282,16.55,21883
"28",90028,2005,5902,4290,1612,27.1,21781
"29",90029,2005,192,115,77,3.71,5174
"30",90030,2005,0,0,0,0,270
"31",90031,2005,297,0,297,3.23,9183
"32",90032,2005,0,0,0,0,6004
"33",90033,2005,420,0,420,2.3,18264
"34",90034,2005,1205,346,859,13.96,8631
"35",90035,2005,3100,2618,482,24.12,12853
"36",90036,2005,10164,5522,4642,38.45,26432
"37",90037,2005,192,0,192,3.21,5989
"38",90038,2005,7008,6155,853,47.28,14822
"39",90039,2005,580,44,536,5.89,9844
"40",90040,2005,2324,443,1881,5.15,45148
"41",90041,2005,337,0,337,5.82,5787
"42",90042,2005,114,14,100,3.96,2878
"43",90043,2005,36,0,36,1.12,3225
"44",90044,2005,110,62,48,3.9,2820
"45",90045,2005,5153,2811,2342,7.59,67869
"46",90046,2005,1347,559,788,11.07,12172
"47",90047,2005,63,38,25,1.57,4019
"48",90048,2005,3997,1932,2065,12,33322
"49",90049,2005,6868,0,6868,28.99,23689
"50",90050,2005,0,0,0,0,3
"51",90051,2005,13,0,13,2.56,508
"52",90052,2005,0,0,0,0,122
"53",90053,2005,0,0,0,NA,0
"54",90054,2005,0,0,0,0,500
"55",90055,2005,0,0,0,0,52
"56",90056,2005,759,43,716,21.98,3453
"57",90057,2005,703,45,658,7.13,9866
"58",90058,2005,731,88,643,1.68,43526
"59",90059,2005,16,0,16,0.39,4130
"60",90060,2005,0,0,0,0,64
"61",90061,2005,117,0,117,1.83,6392
"62",90062,2005,26,0,26,1.67,1558
"63",90063,2005,115,41,74,2.89,3974
"64",90064,2005,11495,2395,9100,43.14,26646
"65",90065,2005,605,405,200,7.12,8495
