"","location","year","tech_jobs","all_jobs","percentage","growth"
"1",90001,2005,48,7898,164.541666666667,NA
"2",90001,2006,95,8078,85.0315789473684,-0.483221601737949
"3",90001,2007,125,8279,66.232,-0.221089378559049
"4",90001,2008,82,8079,98.5243902439024,0.487564775998044
"5",90001,2009,32,7138,223.0625,1.26403329620003
"6",90001,2010,31,9097,293.451612903226,0.315557805113929
"7",90001,2011,24,8420,350.833333333333,0.1955406544282
"8",90001,2012,53,8421,158.88679245283,-0.547116031013311
"9",90001,2013,103,9070,88.0582524271845,-0.445779909910845
"10",90001,2014,88,9055,102.897727272727,0.168518843339682
"11",90001,2015,61,9046,148.295081967213,0.441189090349503
"12",90001,2016,71,9079,127.87323943662,-0.137710855004001
"13",90001,2017,96,9334,97.2291666666667,-0.239644142159562
"14",90002,2005,24,1142,47.5833333333333,NA
"15",90002,2006,0,1306,Inf,Inf
"16",90002,2007,24,1391,57.9583333333333,-1
"17",90002,2008,0,1387,Inf,Inf
"18",90002,2009,0,1297,Inf,NA
"19",90002,2010,0,2010,Inf,NA
"20",90002,2011,0,2030,Inf,NA
"21",90002,2012,0,1945,Inf,NA
"22",90002,2013,0,3042,Inf,NA
"23",90002,2014,0,3048,Inf,NA
"24",90002,2015,0,3070,Inf,NA
"25",90002,2016,24,2945,122.708333333333,-1
"26",90002,2017,5,3320,664,4.41120543293718
"27",90003,2005,68,4352,64,NA
"28",90003,2006,95,4449,46.8315789473684,-0.268256578947368
"29",90003,2007,65,4504,69.2923076923077,0.479606480280789
"30",90003,2008,29,4450,153.448275862069,1.21450664543394
"31",90003,2009,45,4206,93.4666666666667,-0.39089138576779
"32",90003,2010,47,6149,130.829787234043,0.399748080250099
"33",90003,2011,71,6108,86.0281690140845,-0.342442032255331
"34",90003,2012,51,5989,117.43137254902,0.365033963814734
"35",90003,2013,58,7161,123.465517241379,0.0513844346819738
"36",90003,2014,37,7228,195.351351351351,0.582234098363131
"37",90003,2015,29,7176,247.448275862069,0.266683205160009
"38",90003,2016,31,6721,216.806451612903,-0.123831229546516
"39",90003,2017,33,6720,203.636363636364,-0.0607458305717499
"40",90004,2005,845,7064,8.35976331360947,NA
"41",90004,2006,866,6890,7.95612009237875,-0.0482840489722474
"42",90004,2007,1083,7259,6.70267774699908,-0.157544422510711
"43",90004,2008,1144,7539,6.59003496503496,-0.0168056389126784
"44",90004,2009,940,7312,7.77872340425532,0.180376651342099
"45",90004,2010,971,8404,8.65499485066941,0.112649775660455
"46",90004,2011,981,8612,8.77879714576962,0.0143041442815686
